"avg(register)","year"
5.8014,1958
5.7442,1959
5.8774,1960
5.9836,1961
5.8371,1962
6.0255,1963
6.1060,1964
6.2549,1965
6.1895,1966
6.2788,1967
6.3386,1968
6.3666,1969
6.5993,1970
6.4382,1971
6.5219,1972
6.4440,1973
6.5137,1974
6.6292,1975
6.6217,1976
6.7936,1977
6.6617,1978
6.9490,1979
6.7048,1980
6.7340,1981
6.8873,1982
6.8197,1983
7.0364,1984
7.0144,1985
6.7879,1986
7.0802,1987
7.0782,1988
7.0407,1989
7.0807,1990
6.8633,1991
6.6944,1992
6.6033,1993
6.3714,1994
6.5283,1995
6.4479,1996
6.4000,1997
6.0550,1998
6.2460,1999
6.2500,2000
6.1780,2001
6.1085,2002
5.9521,2003
6.1322,2004
6.1479,2005
6.0000,2006
5.9630,2007
6.0000,2008
6.0750,2009
6.3904,2010
6.1053,2011
6.1656,2012
6.3097,2013
6.0000,2014
6.0514,2015
6.0473,2016
5.7226,2017
5.8837,2018
5.9500,2019
