"avg","year"
5.9189,1958
5.6727,1959
5.9811,1960
6.1538,1961
5.7931,1962
6.2115,1963
6.4203,1964
6.3625,1965
6.1954,1966
6.4853,1967
6.2500,1968
6.6119,1969
6.9552,1970
6.6415,1971
6.5065,1972
6.6786,1973
6.4026,1974
6.9697,1975
6.8070,1976
6.8545,1977
6.7917,1978
7.1111,1979
6.8868,1980
6.8600,1981
6.8571,1982
6.8906,1983
7.0952,1984
7.0625,1985
6.8571,1986
7.0169,1987
7.2055,1988
7.0526,1989
7.0638,1990
7.1190,1991
6.8696,1992
6.8182,1993
6.4000,1994
6.2778,1995
6.5882,1996
6.7368,1997
6.1818,1998
6.6667,1999
6.3462,2000
6.2381,2001
6.1667,2002
6.3750,2003
6.5625,2004
6.1500,2005
6.2143,2006
6.3182,2007
6.2800,2008
6.8235,2009
6.9167,2010
6.2667,2011
6.3000,2012
6.7059,2013
6.4762,2014
6.8333,2015
6.5000,2016
6.2353,2017
6.1818,2018
7.6000,2019
